product,ticker,quantity,start_date,end_date,avg_cost,total_cost,current_value,current_money_weighted_return,realized_return,net_return,current_performance_percentage,net_performance_percentage
Cloudflare,NET,4.0,2020-10-01,2021-08-01,68.87,275.48,474.52,199.04,-1.02,198.02,72.25,71.88
Tilray Brands,TLRY,0.0,2020-10-01,2021-08-01,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2020-10-01,2021-08-01,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2020-10-01,2021-08-01,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2020-10-01,2021-08-01,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2020-10-01,2021-08-01,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2020-10-01,2021-08-01,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2020-10-01,2021-08-01,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
MongoDB,MDB,1.0,2020-10-01,2021-08-01,300.16,300.16,358.92,58.76,-0.5,58.26,19.58,19.41
Emerging markets,SUSM.L,14.0,2020-10-01,2021-08-01,6.64,93.02,121.77,28.75,-4.05,24.7,30.9,26.55
Pacific,UIMT.AS,2.0,2020-10-01,2021-08-01,67.07,134.14,140.94,6.8,-2.04,4.76,5.07,3.55
Europe,IESE.AS,4.0,2020-10-01,2021-08-01,49.74,198.98,242.8,43.82,-2.06,41.76,22.02,20.99
USA,UIMP.AS,3.0,2020-10-01,2021-08-01,127.04,381.12,471.9,90.78,-2.11,88.67,23.82,23.27
Full portfolio,,30.0,2020-10-01,2021-08-01,100.86,3025.94,2361.91,520.69,-240.1,280.59,17.21,9.27
PayPal,PYPL,2.0,2020-10-01,2021-09-01,229.16,458.32,573.5,115.18,-1.0,114.18,25.13,24.91
Cloudflare,NET,4.0,2020-10-01,2021-09-01,68.87,275.48,507.44,231.96,-1.02,230.94,84.2,83.83
Tilray Brands,TLRY,0.0,2020-10-01,2021-09-01,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2020-10-01,2021-09-01,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2020-10-01,2021-09-01,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2020-10-01,2021-09-01,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2020-10-01,2021-09-01,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2020-10-01,2021-09-01,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2020-10-01,2021-09-01,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
MongoDB,MDB,1.0,2020-10-01,2021-09-01,300.16,300.16,393.43,93.27,-0.5,92.77,31.07,30.91
Emerging markets,SUSM.L,14.0,2020-10-01,2021-09-01,6.64,93.02,125.51,32.49,-4.05,28.44,34.93,30.57
Pacific,UIMT.AS,2.0,2020-10-01,2021-09-01,67.07,134.14,145.08,10.94,-2.04,8.9,8.16,6.63
Europe,IESE.AS,4.0,2020-10-01,2021-09-01,49.74,198.98,252.08,53.1,-2.06,51.04,26.69,25.65
USA,UIMP.AS,3.0,2020-10-01,2021-09-01,127.04,381.12,484.92,103.8,-2.11,101.69,27.24,26.68
Full portfolio,,30.0,2020-10-01,2021-09-01,100.86,3025.94,2481.96,640.74,-240.1,400.64,21.17,13.24
Pacific,UIMT.AS,3.0,2020-10-01,2021-10-01,69.66,208.99,217.8,8.81,-4.06,4.75,4.22,2.27
Emerging markets,AYEM.DE,12.0,2020-10-01,2021-10-01,5.94,71.26,71.83,0.57,0.0,0.57,0.8,0.8
Europe,IESE.AS,7.0,2020-10-01,2021-10-01,54.71,382.97,419.3,36.33,-4.12,32.21,9.49,8.41
USA,UIMP.AS,5.0,2020-10-01,2021-10-01,139.83,699.16,789.8,90.64,-2.11,88.53,12.96,12.66
MongoDB,MDB,0.0,2020-10-01,2021-10-01,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
PayPal,PYPL,2.0,2020-10-01,2021-10-01,229.16,458.32,529.3,70.98,-1.0,69.98,15.49,15.27
Cloudflare,NET,4.0,2020-10-01,2021-10-01,68.87,275.48,459.92,184.44,-1.02,183.42,66.95,66.58
Tilray Brands,TLRY,0.0,2020-10-01,2021-10-01,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
