product,ticker,quantity,start_date,end_date,avg_cost,total_cost,current_value,current_money_weighted_return,realized_return,net_return,current_performance_percentage,net_performance_percentage
USA,UIMP.AS,9.0,2024-01-01,2024-01-12,151.45,1363.08,1627.74,264.66,-3.11,261.55,19.42,19.19
PayPal,PYPL,3.0,2024-01-01,2024-01-12,188.81,566.43,183.0,-383.43,-1.5,-384.93,-67.69,-67.96
Cloudflare,NET,0.0,2024-01-01,2024-01-12,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-01-12,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-01-12,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-01-12,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-01-12,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-01-12,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-01-12,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2024-01-01,2024-01-12,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-01-12,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-01-12,6.64,93.02,94.43,1.41,-4.05,-2.64,1.52,-2.84
Full portfolio,,150.0,2024-01-01,2024-01-12,10.77,5931.05,4148.93,-21.76,28.27,6.51,-0.37,0.11
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-01-13,9.74,496.85,519.79,22.94,-1.0,21.94,4.62,4.42
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-01-13,5.72,291.87,275.66,-16.21,-1.0,-17.21,-5.56,-5.9
Pacific,UIMT.AS,7.0,2024-01-01,2024-01-13,69.67,487.68,484.26,-3.42,-11.58,-15.0,-0.7,-3.08
Europe,IESE.AS,15.0,2024-01-01,2024-01-13,58.12,871.76,964.05,92.29,-11.69,80.6,10.59,9.25
USA,UIMP.AS,9.0,2024-01-01,2024-01-13,151.45,1363.08,1627.74,264.66,-3.11,261.55,19.42,19.19
PayPal,PYPL,3.0,2024-01-01,2024-01-13,188.81,566.43,183.0,-383.43,-1.5,-384.93,-67.69,-67.96
Cloudflare,NET,0.0,2024-01-01,2024-01-13,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-01-13,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-01-13,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
SNDL Inc.,SNDL,0.0,2024-01-01,2024-01-13,1.31,65.73,0.0,0.0,-5.07,-5.07,0.0,-7.71
Block Inc.,SQ,0.0,2024-01-01,2024-01-13,213.15,213.15,0.0,0.0,0.68,0.68,0.0,0.32
GameStop,GME,0.0,2024-01-01,2024-01-13,285.21,285.21,0.0,0.0,-210.22,-210.22,0.0,-73.71
BlackBerry,BB.TO,0.0,2024-01-01,2024-01-13,15.84,95.05,0.0,0.0,-29.57,-29.57,0.0,-31.11
Salesforce Inc.,CRM,0.0,2024-01-01,2024-01-13,183.91,183.91,0.0,0.0,1.36,1.36,0.0,0.74
Palantir Technologies,PLTR,0.0,2024-01-01,2024-01-13,27.26,190.82,0.0,0.0,-5.92,-5.92,0.0,-3.1
Emerging markets,SUSM.L,14.0,2024-01-01,2024-01-13,6.64,93.02,94.43,1.41,-4.05,-2.64,1.52,-2.84
Full portfolio,,150.0,2024-01-01,2024-01-13,10.77,5931.05,4148.93,-21.76,28.27,6.51,-0.37,0.11
Nasdaq,NQSE.DE,51.0,2024-01-01,2024-01-14,9.74,496.85,519.79,22.94,-1.0,21.94,4.62,4.42
Emerging markets,AYEM.DE,51.0,2024-01-01,2024-01-14,5.72,291.87,275.66,-16.21,-1.0,-17.21,-5.56,-5.9
Pacific,UIMT.AS,7.0,2024-01-01,2024-01-14,69.67,487.68,484.26,-3.42,-11.58,-15.0,-0.7,-3.08
Europe,IESE.AS,15.0,2024-01-01,2024-01-14,58.12,871.76,964.05,92.29,-11.69,80.6,10.59,9.25
USA,UIMP.AS,9.0,2024-01-01,2024-01-14,151.45,1363.08,1627.74,264.66,-3.11,261.55,19.42,19.19
PayPal,PYPL,3.0,2024-01-01,2024-01-14,188.81,566.43,183.0,-383.43,-1.5,-384.93,-67.69,-67.96
Cloudflare,NET,0.0,2024-01-01,2024-01-14,68.87,275.48,0.0,0.0,163.45,163.45,0.0,59.33
MongoDB,MDB,0.0,2024-01-01,2024-01-14,300.16,300.16,0.0,0.0,126.07,126.07,0.0,42.0
Tilray Brands,TLRY,0.0,2024-01-01,2024-01-14,30.17,150.85,0.0,0.0,21.42,21.42,0.0,14.2
